,Дата,"Ключевая ставка, % годовых","Инфляция, % г/г",Цель по инфляции
0,3.2025,21.0,10.34,4.0
1,2.2025,21.0,10.06,4.0
2,1.2025,21.0,9.92,4.0
3,12.2024,21.0,9.52,4.0
4,11.2024,21.0,8.88,4.0
5,10.2024,21.0,8.54,4.0
6,9.2024,19.0,8.63,4.0
7,8.2024,18.0,9.05,4.0
8,7.2024,18.0,9.13,4.0
9,6.2024,16.0,8.59,4.0
10,5.2024,16.0,8.3,4.0
11,4.2024,16.0,7.84,4.0
12,3.2024,16.0,7.72,4.0
13,2.2024,16.0,7.69,4.0
14,1.2024,16.0,7.44,4.0
15,12.2023,16.0,7.42,4.0
16,11.2023,15.0,7.48,4.0
17,10.2023,15.0,6.69,4.0
18,9.2023,13.0,6.0,4.0
19,8.2023,12.0,5.15,4.0
20,7.2023,8.5,4.3,4.0
21,6.2023,7.5,3.25,4.0
22,5.2023,7.5,2.51,4.0
23,4.2023,7.5,2.31,4.0
24,3.2023,7.5,3.51,4.0
25,2.2023,7.5,10.99,4.0
26,1.2023,7.5,11.77,4.0
27,12.2022,7.5,11.94,4.0
28,11.2022,7.5,11.98,4.0
29,10.2022,7.5,12.63,4.0
30,9.2022,7.5,13.68,4.0
31,8.2022,8.0,14.3,4.0
32,7.2022,8.0,15.1,4.0
33,6.2022,9.5,15.9,4.0
34,5.2022,11.0,17.1,4.0
35,4.2022,17.0,17.83,4.0
36,3.2022,20.0,16.69,4.0
37,2.2022,20.0,9.15,4.0
38,1.2022,8.5,8.73,4.0
39,12.2021,8.5,8.39,4.0
40,11.2021,7.5,8.4,4.0
41,10.2021,7.5,8.13,4.0
42,9.2021,6.75,7.4,4.0
43,8.2021,6.5,6.68,4.0
44,7.2021,6.5,6.5,4.0
45,6.2021,5.5,6.5,4.0
46,5.2021,5.0,6.0,4.0
47,4.2021,5.0,5.5,4.0
48,3.2021,4.5,5.8,4.0
49,2.2021,4.25,5.7,4.0
50,1.2021,4.25,5.2,4.0
51,12.202,4.25,4.9,4.0
52,11.202,4.25,4.4,4.0
53,10.202,4.25,4.0,4.0
54,9.202,4.25,3.7,4.0
55,8.202,4.25,3.6,4.0
56,7.202,4.25,3.4,4.0
57,6.202,4.5,3.2,4.0
58,5.202,5.5,3.0,4.0
59,4.202,5.5,3.1,4.0
60,3.202,6.0,2.5,4.0
61,2.202,6.0,2.3,4.0
62,1.202,6.25,2.4,4.0
63,12.2019,6.25,3.0,4.0
64,11.2019,6.5,3.5,4.0
65,10.2019,6.5,3.8,4.0
66,9.2019,7.0,4.0,4.0
67,8.2019,7.25,4.3,4.0
68,7.2019,7.25,4.6,4.0
69,6.2019,7.5,4.7,4.0
70,5.2019,7.75,5.1,4.0
71,4.2019,7.75,5.2,4.0
72,3.2019,7.75,5.3,4.0
73,2.2019,7.75,5.2,4.0
74,1.2019,7.75,5.0,4.0
75,12.2018,7.75,4.3,4.0
76,11.2018,7.5,3.8,4.0
77,10.2018,7.5,3.5,4.0
78,9.2018,7.5,3.4,4.0
79,8.2018,7.25,3.1,4.0
80,7.2018,7.25,2.5,4.0
81,6.2018,7.25,2.3,4.0
82,5.2018,7.25,2.4,4.0
83,4.2018,7.25,2.4,4.0
84,3.2018,7.25,2.4,4.0
85,2.2018,7.5,2.2,4.0
86,1.2018,7.75,2.2,4.0
87,12.2017,7.75,2.5,4.0
88,11.2017,8.25,2.5,4.0
89,10.2017,8.25,2.7,4.0
90,9.2017,8.5,3.0,4.0
91,8.2017,9.0,3.3,4.0
92,7.2017,9.0,3.9,4.0
93,6.2017,9.0,4.4,4.0
94,5.2017,9.25,4.1,4.0
95,4.2017,9.75,4.1,4.0
96,3.2017,9.75,4.3,4.0
97,2.2017,10.0,4.6,4.0
98,1.2017,10.0,5.0,4.0
99,12.2016,10.0,5.4,
100,11.2016,10.0,5.8,
101,10.2016,10.0,6.1,
102,9.2016,10.0,6.4,
103,8.2016,10.5,6.9,
104,7.2016,10.5,7.2,
105,6.2016,10.5,7.5,
106,5.2016,11.0,7.3,
107,4.2016,11.0,7.3,
108,3.2016,11.0,7.3,
109,2.2016,11.0,8.1,
110,1.2016,11.0,9.8,
111,12.2015,11.0,12.9,
112,11.2015,11.0,15.0,
113,10.2015,11.0,15.6,
114,9.2015,11.0,15.7,
115,8.2015,11.0,15.8,
116,7.2015,11.5,15.6,
117,6.2015,11.5,15.3,
118,5.2015,12.5,15.8,
119,4.2015,14.0,16.4,
120,3.2015,14.0,16.9,
121,2.2015,15.0,16.7,
122,1.2015,17.0,14.96,
123,12.2014,17.0,11.35,
124,11.2014,9.5,9.06,
125,10.2014,8.0,8.29,
126,9.2014,8.0,8.03,
127,8.2014,8.0,7.55,
128,7.2014,8.0,7.45,
129,6.2014,7.5,7.81,
