;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;LTM
"Дата отчета";;;;;;16.12.2019;16.12.2019;16.12.2019;16.12.2019;16.12.2019;16.12.2019;16.12.2019;16.12.2019;30.05.2018;16.07.2018;16.12.2019;25.05.2018;30.05.2018;29.08.2018;26.11.2018;12.03.2019;14.05.2019;20.08.2019;20.11.2019;11.03.2020;13.05.2020;06.08.2020;12.11.2020;11.03.2021;11.05.2021;26.08.2021;24.11.2021;04.03.2022;23.11.2022;23.11.2022;23.11.2022;15.03.2023;24.05.2023;29.08.2023;22.11.2023;14.03.2024;22.05.2024;20.08.2024;28.11.2024;20.03.2025;20.03.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;;;;;;6.90;;;;;14.3;14.3;14.3;14.3;24.2;;;;40.4;40.4;44.0;46.5;47.1;49.1;48.8;50.8;56.8;65.0;71.7;80.4;93.7;;;;99.9;112.0;128.0;147.0;166.0;193.0;264.0;339.0;962.0
"Чист. проц. доходы, млрд руб";;;;;;;6.31;6.26;6.90;7.40;8.30;8.80;9.50;9.90;11.2;10.00;12.0;10.8;11.1;11.8;13.7;13.3;14.9;15.0;16.5;10.00;14.6;24.4;21.5;24.5;28.4;29.5;50.2;36.7;29.7;36.7;40.8;46.9;53.5;61.8;68.1;73.2;77.7;103.7;125.1;379.7
"Чист. комисс. доход, млрд руб";;;;;;;0.244;1.24;;0.115;0.828;2.04;1.88;1.74;2.17;2.50;;3.78;3.84;4.22;3.81;4.40;4.59;5.32;4.28;5.05;6.11;7.28;7.56;8.77;10.5;12.1;15.9;20.6;21.8;16.9;17.8;16.4;16.6;18.8;21.3;18.3;24.0;29.5;34.2;106.0
"Число клиентов, млн";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0;27.9;;30.4;31.4;47.8;47.8
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.99;;;;21.0;;;;;;;;
"Чистая прибыль, млрд руб";;;;;;;0.527;0.743;0.900;1.90;2.56;2.96;3.70;3.40;3.97;5.00;6.40;5.70;5.98;7.30;8.12;7.20;8.20;9.70;11.0;9.02;10.2;12.6;12.4;14.2;16.1;16.5;16.6;1.40;3.00;6.00;10.3;16.2;20.4;23.6;20.7;22.2;23.5;37.8;38.7;122.2
"Див.выплата, млрд руб";;;;;;;;;;;;;;1.80;2.10;4.40;3.20;2.73;3.06;3.36;;2.19;;;3.30;2.68;2.87;3.81;3.50;;;;;;;;;;;;;;;24.8;;24.8
"Дивиденд, руб/акцию";;;;;;;;;;;;;;9,86;11,6;23,45;17,67;14,94;16,7;18,39;;10,97;;;16,58;13,4;14,4;19,1;17,8;;;;;;;;;;;;;;;92,5;;92,5
