ticker,target,best_alpha,mse_model,mse_baseline,r2,coef_inflation,coef_inflation_ci,coef_unemployment,coef_unemployment_ci,coef_usd_rub,coef_usd_rub_ci
FESH,debt,100.0,0.007770070926634666,0.008085498332705526,-0.00873527319806966,-0.0009955523385796036,"[-0.004, 0.003]",0.004866520073233633,"[-0.002, 0.012]",-0.0011792899066411654,"[-0.008, 0.005]"
FESH,capitalization,0.001,0.09865003848241222,0.8879801917808393,0.8888934033501283,0.0071144008448034155,"[-0.068, 0.127]",-0.7200474905218421,"[-0.828, -0.584]",0.03488957451615777,"[-0.052, 0.188]"
GAZP,debt,3.7275937203149416,0.003144067672619678,0.02111492621907494,0.8508011216985851,-0.013344370276812227,"[-0.029, 0.011]",-0.07981640910653201,"[-0.095, -0.058]",0.05092185749415312,"[0.036, 0.078]"
GAZP,capitalization,7.543120063354623,0.04649563355665618,0.06722004206104061,0.3075100467629628,0.03778607055283453,"[-0.004, 0.076]",0.08702306048153637,"[0.043, 0.133]",-0.027011033508245637,"[-0.068, 0.013]"
GMKN,debt,2.329951810515372,0.011637829408923725,0.023292428860900705,0.4991784728475619,-0.044024492021119,"[-0.067, -0.009]",-0.06230063910469648,"[-0.089, -0.033]",0.07264720419755677,"[0.046, 0.098]"
GMKN,capitalization,0.5689866029018299,0.01573085621009802,0.047440692364969755,0.6320547155195871,0.021497521523803822,"[-0.023, 0.054]",0.18823300344359936,"[0.139, 0.242]",0.07345860186977558,"[0.003, 0.127]"
LKOH,debt,0.001,0.03590252745111066,0.08518219988190394,0.5638826602678163,0.1351353799927773,"[0.100, 0.167]",0.2127726818192556,"[0.169, 0.252]",-0.08210228530507269,"[-0.143, -0.044]"
LKOH,capitalization,4.714866363457395,0.013866265712879806,0.04241415660409041,0.6157811200581926,-0.03326464879400427,"[-0.079, 0.032]",-0.030174965781017297,"[-0.082, 0.021]",0.10491349830535052,"[0.062, 0.142]"
LNTA,debt,0.35564803062231287,0.2008028231294043,0.5094286909655031,0.587105058422409,0.4857569094134942,"[-0.515, 1.092]",0.9165827061473034,"[0.465, 1.446]",-0.4392411436483028,"[-0.701, -0.161]"
LNTA,capitalization,1.4563484775012443,0.0388637529046981,0.028270956074105735,-1.0226753623562521,-0.07825148566403799,"[-0.120, 0.001]",-0.06255444755810659,"[-0.150, 0.024]",0.12558097355640488,"[0.077, 0.177]"
MGNT,debt,0.9102981779915218,0.04904401101676021,0.09958580939438333,0.47131912389411335,-0.016579821573868125,"[-0.058, 0.033]",-0.26159062641454983,"[-0.315, -0.201]",-0.047417722793840246,"[-0.121, 0.018]"
MGNT,capitalization,9.540954763499943,0.02389995429433907,0.04325156946528607,0.40159632771743436,-0.028592530490019592,"[-0.061, 0.014]",-0.03689555669287806,"[-0.067, -0.005]",0.06469841739742906,"[0.039, 0.096]"
MOEX,debt,0.054286754393238594,202.61527892161303,487.017076534905,0.5732222063497938,-9.310377957356902,"[-11.063, -7.218]",-22.729646290375747,"[-26.432, -19.188]",-1.772630923661033,"[-6.952, 3.332]"
MOEX,capitalization,2.9470517025518097,0.03854994668862655,0.09818356124826978,0.5312537171313069,-0.05011609084101099,"[-0.125, 0.044]",0.007038729573579573,"[-0.068, 0.075]",0.1899710232105511,"[0.134, 0.245]"
MTSS,debt,1.8420699693267164,0.003409512993928648,0.019499607139170545,0.8251330992500889,0.02949753459539823,"[0.014, 0.053]",-0.07725091827463398,"[-0.095, -0.060]",0.03005822960913825,"[0.013, 0.056]"
MTSS,capitalization,3.7275937203149416,0.009705069900854566,0.019470505466839226,0.48190708779650315,-0.04855633507773504,"[-0.075, -0.024]",0.0699792926745523,"[0.044, 0.095]",0.0031197562211166163,"[-0.023, 0.036]"
NLMK,debt,0.7196856730011522,0.03216093622231512,0.16481165838066184,0.8039789285302307,0.09595354281740925,"[-0.002, 0.153]",0.32320065030275247,"[0.256, 0.379]",-0.09637498862461465,"[-0.198, -0.023]"
NLMK,capitalization,1.4563484775012443,0.03910222563706261,0.04388423370012265,0.06390509915550702,-0.0009730037303726308,"[-0.042, 0.048]",0.07172185383825157,"[0.025, 0.128]",0.14732040494276416,"[0.102, 0.193]"
